昵称,id,学历,学校,学院,专业,经验,简介
胡海菊,5b16fd5b89efe612416859b8,教师,燕山大学,经济管理学院,Business Administation / Management Science,,
非比,5b161ab789efe61241685996,博士生,国立大学,商学院,Business Administation / Management Science,MIS专业,
路守望,5b16391e89efe612416859a5,硕士生,中国人民大学,商学院,Economics,,
Rebecca,5b126d7d04bad5e72c7ba7c1,学生,天津大学 ,管理与经济学部,Economics / Finance,,
Tianhao Zhou,5b156883870fe9f74089e55c,学生,南京农业大学,经济管理学院,Economics,work bad and play bad,
Hongcai,5b11602b74e96aa7413140d2,心理学爱好者,二流院校,二级学院,Psychology,王宏才,无
李果多,5b1165da04bad5e72c7ba7bb,硕士研究生,华东师范大学,心理与认知科学学院,Psychology,心理学界学术混混，励志教育实践,
张婧怡,5b10f7e474e96aa7413140d1,研究生,筑波大学,社会工学,Social Sciences,组织行为学 研一在读 关注OCB,
yuangao,5b10b95504bad5e72c7ba7b7,PHD,XIDIAN,E and M ,Business Administation / Management Science,努力使自己不努力,
RicardoYZhu,5b107ead74e96aa7413140cc,学生,北京科技大学,经管学院,Economics / Finance,金融工程在校学生。,
柳语嫣,5b10a58604bad5e72c7ba7b3,学生,中山大学,管理学院,Economics / Finance,student majored in finance.,NA
jiangyongbi,5b0ec9c404bad5e72c7ba7a1,硕士,浙江工作大学,经济贸易管理学院,Business Administation / Management Science,宏观科研人员,区域宏观课题研究
王晗,5b0eb94d04bad5e72c7ba7a0,博士生,西北大学,经济管理学院,Economics / Finance,在读博士研究生，金额学，风险投资,目前为在读博士生
弧光浮晨,5b0d49ae04bad5e72c7ba782,学生,西南财经大学,国际商学院,Economics,,
胡雅婷,5b0d627504bad5e72c7ba786,学生,对外经济贸易大学,国际关系学院,Humanities,,
xyn6789,5b0d5e0804bad5e72c7ba785,学生,对外贸易贸易大学,国际商学院,,,
coco,5b0e0b0774e96aa7413140b4,研究生,首都师范大学,心理学院,Psychology,应用心理学在读研究生。,
苏雪妍,5b0cbf1f74e96aa7413140a5,学生,天津大学,管院,Economics / Finance,天大,研究生一枚
Jianwu,5b0bebb504bad5e72c7ba77b,北京,北京大学,,Arts and Literature,社会心理学博士研究生,
里巷,5b0b788f04bad5e72c7ba773,学生,江南大学,商学院,Engineering,爱旅行，爱玩的一个研究生,
冯伯姝,5b09513574e96aa741314078,学生,河北师范大学,教育学院,Psychology,学心理者,
李不群,5b095d1104bad5e72c7ba75f,学生,山东师范大学,心理学院,,,
刘书辰,5b0969cc74e96aa74131407b,学生,上海大学,上海美术学院,Design,人,
